,occupation_field,occupation_name,non-college count,wage/salary
393,PRD,"Textile Bleaching And Dyeing, And Cutting Machine",9,20738.89
394,PRD,"Textile Knitting And Weaving Machine Setters,",1,15600.0
395,PRD,Upholsterers,90,14736.67
396,PRD,"Miscellaneous Textile, Apparel, And Furnishings",17,14829.41
397,PRD,Cabinetmakers And Bench Carpenters,122,22139.67
398,PRD,Furniture Finishers,17,10700.0
399,PRD,"Sawing Machine Setters, Operators, And Tenders, Wood",24,18232.5
400,PRD,"Woodworking Machine Setters, Operators, And Tenders,",35,17085.71
401,PRD,"Miscellaneous Woodworkers, Including Model Makers And",39,15486.92
402,PRD,"Power Plant Operators, Distributors, And Dispatchers",57,56089.47
403,PRD,Stationary Engineers And Boiler Operators,93,39868.82
404,PRD,Water And Wastewater Treatment Plant And System,164,36501.59
405,PRD,Miscellaneous Plant And System Operators,46,39089.13
406,PRD,"Chemical Processing Machine Setters, Operators, And",45,30131.11
407,PRD,"Crushing, Grinding, Polishing, Mixing, And Blending",76,30590.79
408,PRD,Cutting Workers,93,16306.99
409,PRD,"Extruding, Forming, Pressing, And Compacting Machine",30,21880.0
410,PRD,"Furnace, Kiln, Oven, Drier, And Kettle Operators And",3,51666.67
411,PRD,"Inspectors, Testers, Sorters, Samplers, And Weighers",734,28948.2
412,PRD,Jewelers And Precious Stone And Metal Workers,45,21411.11
413,PRD,"Medical, Dental, And Ophthalmic Laboratory Technicians",124,26345.16
414,PRD,Packaging And Filling Machine Operators And Tenders,209,16850.43
415,PRD,Painting Workers,245,27840.0
416,PRD,Photographic Process Workers And Processing Machine,31,18229.03
417,PRD,Adhesive Bonding Machine Operators And Tenders,8,25987.5
418,PRD,Etchers And Engravers,12,18925.0
419,PRD,"Molders, Shapers, And Casters, Except Metal And Plastic",42,20066.67
420,PRD,"Paper Goods Machine Setters, Operators, And Tenders",28,29100.0
421,PRD,Tire Builders,3,0.0
422,PRD,Helpers,98,11322.45
423,PRD,"Miscellaneous Production Workers, Including",1144,23479.03
424,TRN,Supervisors Of Transportation And Material Moving,276,36455.43
425,TRN,Aircraft Pilots And Flight Engineers,74,69521.62
426,TRN,Air Traffic Controllers And Airfield Operations,24,48916.67
427,TRN,Flight Attendants,103,39842.72
428,TRN,"Ambulance Drivers And Attendants, Except Emergency",15,18553.33
429,TRN,Bus Drivers,1052,18570.88
430,TRN,Driver/Sales Workers And Truck Drivers,6434,27489.02
431,TRN,Taxi Drivers And Chauffeurs,757,13613.38
432,TRN,"Motor Vehicle Operators, All Other",141,16215.04
433,TRN,Locomotive Engineers And Operators,30,45866.67
434,TRN,Railroad Conductors And Yardmasters,24,37900.0
435,TRN,"Subway, Streetcar, And Other Rail Transportation",27,12340.74
436,TRN,"Sailors And Marine Oilers, And Ship Engineers",74,44469.32
437,TRN,Ship And Boat Captains And Operators,167,40297.03
438,TRN,Parking Lot Attendants,221,11828.33
439,TRN,Automotive And Watercraft Service Attendants,148,14880.54
440,TRN,Transportation Inspectors,46,37997.83
441,TRN,"Transportation Attendants, Except Flight Attendants",54,15381.48
442,TRN,"Miscellaneous Transportation Workers, Including Bridge",68,25550.0
443,TRN,Crane And Tower Operators,97,39139.18
444,TRN,"Dredge, Excavating, And Loading Machine Operators",46,39950.0
445,TRN,"Conveyor Operators And Tenders, And Hoist And Winch",14,24407.14
446,TRN,Industrial Truck And Tractor Operators,668,24138.02
447,TRN,Cleaners Of Vehicles And Equipment,941,11579.82
448,TRN,"Laborers And Freight, Stock, And Material Movers, Hand",3859,15564.28
449,TRN,Machine Feeders And Offbearers,32,12525.0
450,TRN,"Packers And Packagers, Hand",671,12520.34
451,TRN,Pumping Station Operators,22,31895.45
452,TRN,Refuse And Recyclable Material Collectors,230,14300.91
453,TRN,"Miscellaneous Material Moving Workers, Including Mine",67,24949.25
454,MIL,Military Officer Special And Tactical Operations,9,7444.44
455,MIL,First,19,49621.05
456,MIL,Military Enlisted Tactical Operations And Air/Weapons,141,18720.57
457,MIL,"Military, Rank Not Specified",221,26591.86
458,UNP,Unemployed And Last Worked 5 Years Ago Or Earlier Or Never,3920,0.0
