,occupation_field,occupation_name,non-college count,wage/salary
411,PRD,"Sawing Machine Setters, Operators, And Tenders, Wood",1516,26838.41
412,PRD,"Woodworking Machine Setters, Operators, And Tenders,",933,24162.2
413,PRD,"Miscellaneous Woodworkers, Including Model Makers And",985,27476.65
414,PRD,"Power Plant Operators, Distributors, And Dispatchers",1033,75353.14
415,PRD,Stationary Engineers And Boiler Operators,2425,54871.67
416,PRD,Water And Wastewater Treatment Plant And System,2386,43748.65
417,PRD,Miscellaneous Plant And System Operators,1253,59629.72
418,PRD,"Chemical Processing Machine Setters, Operators, And",1388,47521.83
419,PRD,"Crushing, Grinding, Polishing, Mixing, And Blending",3015,35365.02
420,PRD,Cutting Workers,2856,24440.63
421,PRD,"Extruding, Forming, Pressing, And Compacting Machine",1180,31890.55
422,PRD,"Furnace, Kiln, Oven, Drier, And Kettle Operators And",444,39922.43
423,PRD,"Inspectors, Testers, Sorters, Samplers, And Weighers",21948,34135.28
424,PRD,Jewelers And Precious Stone And Metal Workers,918,32522.37
425,PRD,"Medical, Dental, And Ophthalmic Laboratory Technicians",1611,32830.62
426,PRD,Packaging And Filling Machine Operators And Tenders,9602,23307.58
427,PRD,Painting Workers,4928,35486.71
428,PRD,Photographic Process Workers And Processing Machine,686,23191.17
429,PRD,Adhesive Bonding Machine Operators And Tenders,389,30142.43
430,PRD,Etchers And Engravers,287,27535.55
431,PRD,"Molders, Shapers, And Casters, Except Metal And Plastic",893,33560.4
432,PRD,"Paper Goods Machine Setters, Operators, And Tenders",1035,37646.46
433,PRD,Tire Builders,492,42203.35
434,PRD,Helpers,1813,18506.13
435,PRD,"Miscellaneous Production Workers, Including",43928,31051.96
436,TRN,Supervisors Of Transportation And Material Moving,5195,48271.14
437,TRN,Aircraft Pilots And Flight Engineers,500,83287.75
438,TRN,Air Traffic Controllers And Airfield Operations,306,65649.19
439,TRN,Flight Attendants,788,40838.43
440,TRN,"Ambulance Drivers And Attendants, Except Emergency",367,23001.17
441,TRN,Bus Drivers,19649,24493.19
442,TRN,Driver/Sales Workers And Truck Drivers,122131,38390.64
443,TRN,Taxi Drivers And Chauffeurs,10175,23291.01
444,TRN,"Motor Vehicle Operators, All Other",1858,17978.96
445,TRN,Locomotive Engineers And Operators,1223,73394.43
446,TRN,Railroad Conductors And Yardmasters,1226,64134.12
447,TRN,"Subway, Streetcar, And Other Rail Transportation",535,55473.24
448,TRN,"Sailors And Marine Oilers, And Ship Engineers",1021,40582.77
449,TRN,Ship And Boat Captains And Operators,1169,65627.36
450,TRN,Parking Lot Attendants,2405,16175.39
451,TRN,Automotive And Watercraft Service Attendants,3551,17851.27
452,TRN,Transportation Inspectors,1016,48324.38
453,TRN,"Transportation Attendants, Except Flight Attendants",889,20687.61
454,TRN,"Miscellaneous Transportation Workers, Including Bridge",653,39477.97
455,TRN,Crane And Tower Operators,2394,55930.0
456,TRN,"Dredge, Excavating, And Loading Machine Operators",1620,41510.56
457,TRN,"Conveyor Operators And Tenders, And Hoist And Winch",582,39707.83
458,TRN,Industrial Truck And Tractor Operators,20945,30827.51
459,TRN,Cleaners Of Vehicles And Equipment,14062,17398.3
460,TRN,"Laborers And Freight, Stock, And Material Movers, Hand",86112,22536.81
461,TRN,Machine Feeders And Offbearers,1143,24336.45
462,TRN,"Packers And Packagers, Hand",17874,17054.31
463,TRN,Pumping Station Operators,1053,51956.39
464,TRN,Refuse And Recyclable Material Collectors,4184,24775.67
465,TRN,"Miscellaneous Material Moving Workers, Including Mine",1947,34751.1
466,MIL,Military Officer Special And Tactical Operations,263,34649.09
467,MIL,First,698,41128.08
468,MIL,Military Enlisted Tactical Operations And Air/Weapons,4117,19789.92
469,MIL,"Military, Rank Not Specified",3943,29985.14
470,UNP,Unemployed And Last Worked 5 Years Ago Or Earlier Or Never,54447,
